Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Paperless Billing,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Contract_Month-to-month,Contract_One year,Contract_Two year,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Zip Code_enc,City_enc
1,0,0,0,0.08333333333333333,1,0,0,0,0,0,1,1,1,0.7240518962075848,0.052424926308032437,1,0.6631578947368422,0.058496441281138734,0,1,0,1,0,0,0,0,1,0,0.25,0.25
1,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.2534930139720559,0.005060565585851143,0,0.15789473684210525,0.8187277580071174,1,0,0,1,0,0,0,1,0,0,0.25,0.16666666666666666
0,0,0,0,0.06944444444444445,1,0,0,0,0,0,1,0,1,0.6142714570858283,0.0458905213706706,0,0.17894736842105263,0.7166370106761565,0,1,0,1,0,0,0,0,0,1,0.0,0.2653061224489796
0,0,1,0,0.18055555555555555,0,-1,1,0,0,1,1,1,1,0.3582834331337325,0.0813893238761975,1,0.8736842105263158,0.7137455516014234,1,0,0,1,0,0,0,0,1,0,0.3333333333333333,0.25
0,0,1,1,0.5972222222222222,0,-1,0,1,0,0,0,0,0,0.10728542914171657,0.14094164517317614,0,0.6842105263157894,0.608985765124555,1,0,0,1,0,0,0,1,0,0,0.0,0.2653061224489796
1,0,0,1,0.125,1,0,1,0,1,1,0,1,0,0.7430139720558881,0.1002038043478261,0,0.3684210526315789,0.05871886120996439,0,1,0,1,0,0,1,0,0,0,0.25,0.25
0,0,0,0,0.8472222222222222,1,1,1,0,1,1,1,1,1,0.9286427145708582,0.7917338338246133,1,0.8631578947368421,0.5542704626334519,0,1,0,0,0,1,0,1,0,0,1.0,0.3
1,0,0,1,0.15277777777777776,0,-1,1,0,0,1,0,0,1,0.17465069860279436,0.046356853352984534,0,0.6526315789473685,0.5031138790035586,1,0,0,0,1,0,0,0,0,1,0.25,0.09090909090909091
0,0,1,0,0.9166666666666666,1,1,0,0,1,0,1,0,1,0.44660678642714563,0.48241755711127493,0,0.5789473684210527,0.4855427046263344,1,0,0,0,0,1,1,0,0,0,0.0,0.030303030303030304
0,0,0,1,0.6527777777777778,1,0,1,1,0,0,0,0,1,0.3667664670658682,0.30559713522476056,0,0.4947368421052632,0.7758007117437721,1,0,0,1,0,0,0,0,1,0,0.0,0.0
0,0,0,0,1.0,1,1,0,1,1,0,1,1,1,0.8218562874251498,0.8588626105379515,0,0.5157894736842106,0.8403024911032028,0,1,0,0,0,1,1,0,0,0,0.3333333333333333,0.3333333333333333
0,0,1,1,0.05555555555555555,1,0,-1,-1,-1,-1,-1,-1,0,0.013473053892215536,0.008825764554163599,0,0.7263157894736842,0.07651245551601416,0,0,1,0,0,1,0,0,0,1,0.25,0.25
1,0,1,0,0.6805555555555555,1,0,-1,-1,-1,-1,-1,-1,0,0.018962075848303367,0.10373295873249817,0,0.15789473684210525,0.9025800711743771,0,0,1,0,1,0,1,0,0,0,0.5,0.2653061224489796
1,0,0,0,1.0,1,1,1,1,1,1,1,1,0,0.9630738522954092,0.9677827929255712,0,0.43157894736842106,0.86788256227758,0,1,0,0,0,1,0,1,0,0,0.3333333333333333,0.2564102564102564
0,0,0,0,0.013888888888888888,1,1,0,0,0,0,0,0,1,0.5663672654690619,0.008670320560058955,1,1.0,0.35431494661921703,0,1,0,1,0,0,0,0,1,0,0.3333333333333333,0.3333333333333333
1,1,1,0,0.2638888888888889,1,1,0,0,0,0,1,1,1,0.7624750499001995,0.20268169675755346,0,0.3684210526315789,0.7368772241992881,0,1,0,1,0,0,0,0,1,0,0.0,0.0
0,0,1,1,0.9583333333333333,1,1,0,0,0,1,1,1,1,0.8063872255489022,0.7894770173176124,0,0.7157894736842105,0.5858540925266903,0,1,0,0,0,1,0,0,1,0,0.0,0.0
0,0,0,0,0.4305555555555555,1,1,0,1,0,0,0,0,1,0.6247504990019961,0.30404269528371414,0,0.21052631578947367,0.22864768683274017,0,1,0,1,0,0,0,0,1,0,0.25,0.25
1,1,0,0,0.16666666666666666,1,1,0,1,0,0,1,0,1,0.7260479041916168,0.1260247789240973,1,0.9368421052631579,0.6005338078291814,0,1,0,1,0,0,0,0,1,0,0.2,0.2653061224489796
1,1,0,0,0.20833333333333331,1,1,0,0,0,1,0,0,0,0.3637724550898203,0.08717529476787032,1,0.9368421052631579,0.2588967971530248,1,0,0,1,0,0,0,1,0,0,0.5,0.5
0,1,1,0,0.2222222222222222,1,0,1,1,0,0,0,0,1,0.3592814371257485,0.09500506632277084,0,0.30526315789473685,0.2938167259786476,1,0,0,1,0,0,1,0,0,0,0.0,0.0
0,0,0,0,0.8194444444444444,1,1,0,1,1,1,1,1,1,0.9261477045908184,0.7507081337509213,0,0.6000000000000001,0.8994661921708184,0,1,0,1,0,0,0,0,1,0,0.25,0.25
0,0,0,0,0.861111111111111,1,0,1,1,0,0,1,1,1,0.5563872255489022,0.5409508566691231,0,0.7578947368421052,0.8832295373665481,1,0,0,0,1,0,0,1,0,0,0.0,0.21052631578947367
1,0,1,0,0.2222222222222222,0,-1,0,0,0,1,1,1,1,0.313373253493014,0.09328942520265293,1,0.7684210526315789,0.6310053380782917,1,0,0,1,0,0,0,0,1,0,0.5,0.5
0,1,1,0,0.9722222222222222,1,1,0,1,1,0,1,1,1,0.8607784431137724,0.8415795412675019,0,0.5473684210526315,0.7313167259786476,0,1,0,0,1,0,0,0,1,0,0.0,0.0
1,0,0,1,0.1111111111111111,0,-1,1,0,0,0,0,1,1,0.19910179640718562,0.03808953574060428,0,0.17894736842105263,0.48732206405693945,1,0,0,1,0,0,0,0,1,0,0.25,0.25
1,0,0,0,0.041666666666666664,0,-1,0,0,0,0,0,0,0,0.06686626746506985,0.006781963890935889,1,0.7473684210526315,0.018905693950177938,1,0,0,1,0,0,0,0,1,0,0.75,0.75
0,0,0,0,0.125,1,0,0,0,0,0,0,0,0,0.2634730538922156,0.049626934414148866,1,0.6421052631578947,0.6717081850533807,1,0,0,1,0,0,0,0,0,1,0.6666666666666666,0.2857142857142857
0,0,0,0,0.16666666666666666,1,0,-1,-1,-1,-1,-1,-1,0,0.014970059880239528,0.030743367722918205,0,0.6000000000000001,0.44817615658362986,0,0,1,0,1,0,0,1,0,0,0.0,0.2875
1,0,1,1,0.20833333333333331,1,1,-1,-1,-1,-1,-1,-1,1,0.06686626746506985,0.04546448968312455,0,0.5684210526315789,0.5925266903914591,0,0,1,1,0,0,0,0,1,0,0.3333333333333333,0.3333333333333333
1,0,0,0,0.625,1,1,0,1,0,0,1,0,1,0.7060878243512974,0.46251496868091385,1,0.9684210526315791,0.6399021352313167,0,1,0,1,0,0,0,1,0,0,0.25,0.25
1,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,1,0.5219560878243512,0.008157931098010317,1,0.7052631578947368,0.1937277580071174,0,1,0,1,0,0,0,0,1,0,0.6666666666666666,0.6666666666666666
0,0,1,0,0.5555555555555556,1,1,0,1,0,0,1,1,1,0.8258483033932136,0.47359754974207824,1,0.6842105263157894,0.12744661921708178,0,1,0,1,0,0,0,0,1,0,0.3333333333333333,0.42857142857142855
1,0,1,0,0.027777777777777776,1,0,0,0,0,0,0,0,1,0.5204590818363273,0.016287076271186442,1,0.8526315789473684,0.5685053380782917,0,1,0,1,0,0,0,0,1,0,1.0,1.0
0,0,0,0,0.3611111111111111,1,0,0,1,1,0,1,0,0,0.7110778443113772,0.2688950810611644,1,0.6947368421052631,0.32228647686832734,0,1,0,1,0,0,0,0,1,0,0.2,0.2
1,0,0,0,0.1111111111111111,1,0,0,1,0,0,0,0,0,0.5693612774451098,0.0616652081798084,0,0.2736842105263158,0.2070729537366548,0,1,0,1,0,0,0,0,1,0,0.3333333333333333,0.3333333333333333
1,0,0,1,0.9027777777777777,0,-1,0,1,0,1,1,0,0,0.26646706586826346,0.33782585666912307,0,0.3368421052631579,0.8249555160142349,1,0,0,0,0,1,0,0,0,1,0.3333333333333333,0.3333333333333333
0,0,1,0,1.0,1,1,1,1,0,1,1,1,1,0.9121756487025949,0.9041543846720709,0,0.5684210526315789,0.9463967971530248,0,1,0,0,0,1,0,1,0,0,0.2,0.2
1,1,1,0,0.9444444444444444,1,0,0,1,1,1,0,0,1,0.4201596806387225,0.457799834193073,0,0.2,0.9819839857651246,1,0,0,0,1,0,1,0,0,0,0.0,0.0
0,0,0,0,0.4861111111111111,1,1,1,1,1,1,0,0,1,0.780439121756487,0.3918800663227709,0,0.3368421052631579,0.7008451957295373,0,1,0,1,0,0,0,0,0,1,0.25,0.2222222222222222
1,0,0,1,0.2638888888888889,1,0,1,1,1,0,0,0,1,0.41966067864271456,0.1494334929992631,0,0.29473684210526313,0.10231316725978645,1,0,0,1,0,0,0,0,1,0,0.75,0.3037974683544304
0,0,1,0,0.875,1,1,0,0,1,1,1,1,0,0.6112774451097804,0.5796391396462787,0,0.4947368421052632,0.4604092526690391,1,0,0,0,0,1,0,1,0,0,0.0,0.0
1,0,0,0,0.1388888888888889,1,0,0,0,0,0,0,0,0,0.26646706586826346,0.04936210390567429,0,0.34736842105263155,0.7486654804270462,1,0,0,1,0,0,0,0,0,1,0.0,0.0
0,0,0,0,0.013888888888888888,1,1,0,0,0,0,0,1,1,0.6791417165668663,0.009971444362564481,1,0.9263157894736842,0.7173042704626335,0,1,0,1,0,0,0,0,1,0,1.0,1.0
1,1,1,0,1.0,1,1,0,1,1,0,1,1,1,0.8702594810379243,0.8785291543846723,0,0.5052631578947369,0.8516459074733095,0,1,0,0,1,0,0,1,0,0,0.25,0.25
0,0,1,1,0.1111111111111111,1,0,-1,-1,-1,-1,-1,-1,0,0.015968063872255467,0.019056282240235818,0,0.28421052631578947,0.4217081850533807,0,0,1,0,0,1,0,0,0,1,0.3333333333333333,0.42857142857142855
1,0,1,1,0.7638888888888888,1,0,-1,-1,-1,-1,-1,-1,0,0.024451097804391198,0.1393584193072955,0,0.2,0.6768238434163701,0,0,1,0,0,1,0,0,0,1,0.25,0.25
1,0,1,0,0.986111111111111,1,1,1,1,1,1,1,1,0,0.7140718562874251,0.7266603721444364,0,0.7894736842105263,0.678603202846975,1,0,0,0,0,1,0,0,1,0,0.25,0.25
1,0,0,0,0.8194444444444444,1,1,0,1,1,0,0,0,1,0.6457085828343314,0.5698576823876199,0,0.28421052631578947,0.4650800711743772,0,1,0,1,0,0,0,0,1,0,0.0,0.0
0,0,0,0,0.29166666666666663,1,1,1,0,1,0,1,1,0,0.8512974051896207,0.25504329403095066,0,0.7578947368421052,0.5598309608540925,0,1,0,1,0,0,0,0,0,1,0.3333333333333333,0.25
0,0,0,0,0.3055555555555555,0,-1,0,1,1,0,0,1,1,0.25149700598802394,0.10404384672070746,1,0.6421052631578947,0.2437722419928825,1,0,0,0,1,0,1,0,0,0,0.3333333333333333,0.21428571428571427
1,1,1,0,1.0,1,1,-1,-1,-1,-1,-1,-1,0,0.05738522954091815,0.2048060980103169,0,0.5263157894736843,0.5324733096085409,0,0,1,0,0,1,1,0,0,0,0.25,0.15789473684210525
1,0,0,0,0.3194444444444444,1,1,1,0,1,0,1,1,1,0.5988023952095809,0.2122155950626382,0,0.4421052631578947,0.25,1,0,0,0,1,0,0,0,1,0,0.0,0.3
0,0,1,1,0.3194444444444444,1,0,1,0,0,1,0,0,0,0.38572854291417163,0.16388978445099486,0,0.6736842105263159,0.4488434163701067,1,0,0,0,1,0,0,1,0,0,0.0,0.0
1,0,1,0,0.8055555555555555,0,-1,1,1,0,0,1,0,1,0.26746506986027946,0.2924765106853353,0,0.37894736842105264,0.6970640569395018,1,0,0,0,1,0,0,0,1,0,0.5,0.25274725274725274
1,0,1,0,0.9722222222222222,1,0,-1,-1,-1,-1,-1,-1,0,0.012475049900199597,0.16093059137803983,0,0.2631578947368421,0.55538256227758,0,0,1,0,0,1,1,0,0,0,0.25,0.21428571428571427
0,0,1,1,0.1111111111111111,1,0,0,0,1,0,1,1,1,0.7604790419161676,0.0874573968312454,0,0.4105263157894737,0.7789145907473308,0,1,0,1,0,0,0,0,1,0,0.0,0.0
1,0,0,0,0.06944444444444445,1,1,1,0,0,0,0,0,1,0.3517964071856287,0.032695053426676494,0,0.7684210526315789,0.03981316725978645,1,0,0,1,0,0,0,0,1,0,0.25,0.25
1,0,0,0,0.5,1,0,-1,-1,-1,-1,-1,-1,1,0.006986027944111767,0.07827468680913781,0,0.7789473684210526,0.6452402135231315,0,0,1,0,1,0,1,0,0,0,0.5,0.5
0,0,0,1,0.986111111111111,1,1,1,1,0,0,0,0,1,0.6676646706586826,0.6941956061164334,0,0.45263157894736844,0.6169928825622776,0,1,0,0,1,0,0,1,0,0,0.0,0.0
1,0,0,0,0.3472222222222222,1,1,0,1,1,1,1,1,0,0.9016966067864272,0.3234444086219603,0,0.7894736842105263,0.5326957295373665,0,1,0,0,0,1,0,0,1,0,0.5,0.3037974683544304
1,0,0,0,0.41666666666666663,1,1,0,0,1,0,1,1,0,0.817365269461078,0.35658852247605016,0,0.28421052631578947,0.4299377224199288,0,1,0,1,0,0,0,0,1,0,0.3333333333333333,0.3333333333333333
0,0,1,1,0.19444444444444442,1,0,1,1,0,0,0,1,1,0.4276447105788423,0.09390544399410465,0,0.17894736842105263,0.26312277580071175,1,0,0,0,0,1,1,0,0,0,0.0,0.0
0,0,1,1,0.875,1,1,-1,-1,-1,-1,-1,-1,0,0.06087824351297402,0.181293754605748,0,0.3684210526315789,0.5313612099644127,0,0,1,0,0,1,0,1,0,0,0.25,0.25
0,1,1,0,0.19444444444444442,1,0,-1,-1,-1,-1,-1,-1,0,0.010978043912175633,0.02632760685335299,0,0.6421052631578947,0.2133007117437722,0,0,1,0,1,0,0,0,0,1,0.0,0.2972972972972973
1,0,0,0,0.041666666666666664,1,0,0,0,0,1,0,1,0,0.6711576846307385,0.03134211495946942,1,0.8842105263157896,0.8091637010676155,0,1,0,1,0,0,0,0,1,0,0.5,0.5
0,0,0,1,0.4444444444444444,1,0,-1,-1,-1,-1,-1,-1,0,0.019461077844311364,0.08023212969786293,0,0.47368421052631576,0.2471085409252669,0,0,1,0,0,1,0,0,0,1,0.3333333333333333,0.3333333333333333
0,0,1,1,0.05555555555555555,1,0,-1,-1,-1,-1,-1,-1,0,0.0029940119760479,0.00969509948415623,0,0.6105263157894736,0.7286476868327402,0,0,1,1,0,0,0,0,0,1,0.5,0.5
0,0,0,0,0.9444444444444444,1,1,1,1,1,0,0,1,1,0.8338323353293413,0.8232026068533531,0,0.6000000000000001,0.7173042704626335,0,1,0,0,0,1,1,0,0,0,0.25,0.25
1,0,1,0,0.8055555555555555,1,1,0,1,0,1,0,0,1,0.4126746506986028,0.4035901805453206,0,0.5052631578947369,0.9795373665480426,1,0,0,0,0,1,0,1,0,0,0.25,0.2653061224489796
1,0,1,1,0.41666666666666663,1,0,-1,-1,-1,-1,-1,-1,0,0.01147704590818363,0.06899986182756081,0,0.34736842105263155,0.6766014234875445,0,0,1,0,0,1,0,0,0,1,0.5,0.33884297520661155
1,0,1,0,0.7638888888888888,1,1,0,0,1,0,0,0,1,0.5908183632734532,0.5133278831982314,1,0.7789473684210526,0.5326957295373665,0,1,0,1,0,0,0,0,1,0,0.6666666666666666,0.625
0,0,0,0,0.013888888888888888,1,1,0,0,0,0,1,0,1,0.6596806387225549,0.009746914148857776,1,0.7789473684210526,0.5022241992882561,0,1,0,1,0,0,0,0,0,1,0.25,0.21428571428571427
